Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Westacott Rd
funkadelic-womens-tanga,Funkadelic Women's Tanga,Size,M,Color,Turquoise,,,Z922-TQ-M,2
funkadelic-womens-tanga,Funkadelic Women's Tanga,Size,S,Color,Orange,,,Z922-OR-S,2
funkadelic-womens-tanga,Funkadelic Women's Tanga,Size,S,Color,Turquoise,,,Z922-TQ-S,0
funkadelic-womens-tanga,Funkadelic Women's Tanga,Size,XS,Color,Orange,,,Z922-OR-XS,3
funkadelic-womens-tanga,Funkadelic Women's Tanga,Size,XS,Color,Turquoise,,,Z922-TQ-XS,3
mens-lace-panty-underwear,Color Block Panty,Size,XL,Color,Aqua,,,Q030-AQ-XL,3
mens-lace-panty-underwear,Color Block Panty,Size,L,Color,Aqua,,,Q030-AQ-L,2
mens-lace-panty-underwear,Color Block Panty,Size,M,Color,Aqua,,,Q030-AQ-M,1
mens-lace-panty-underwear,Color Block Panty,Size,S,Color,Aqua,,,Q030-AQ-S,3
mens-lace-panty-underwear,Color Block Panty,Size,XL,Color,Coral,,,Q030-CO-XL,3
mens-lace-panty-underwear,Color Block Panty,Size,L,Color,Coral,,,Q030-CO-L,1
mens-lace-panty-underwear,Color Block Panty,Size,M,Color,Coral,,,Q030-CO-M,1
mens-lace-panty-underwear,Color Block Panty,Size,S,Color,Coral,,,Q030-CO-S,2
the-daisy-bra,The Daisy Bra,Size,2XL,Color,Black,,,Z313-BK-2X,1
the-daisy-bra,The Daisy Bra,Size,XL,Color,Black,,,Z313-BK-XL,2
the-daisy-bra,The Daisy Bra,Size,L,Color,Black,,,Z313-BK-L,1
the-daisy-bra,The Daisy Bra,Size,S,Color,Black,,,Z313-BK-S,3
springtime-flowers-bralette,Springtime Flowers Bralette,Size,L,Color,Spring Garden,,,Z067-SV-L,3
mens-fishnets-and-lace-panty-set,Fishnets and Lace Panty,Size,L,Color,Black,,,X1278-BK-L,1
mens-fishnets-and-lace-panty-set,Fishnets and Lace Panty,Size,M,Color,Black,,,X1278-BK-M,0
mens-mesh-bodysuit,Daisy Mesh Bodysuit,Size,XL,Color,Black,,,Z315-BK-XL,3
mens-mesh-bodysuit,Daisy Mesh Bodysuit,Size,M,Color,Black,,,Z315-BK-M,2
mens-mesh-bodysuit,Daisy Mesh Bodysuit,Size,S,Color,Black,,,Z315-BK-S,2
mens-ruffled-panties,Get Ready to Ruffle,Size,L,Color,Navy Blue,,,Z070-NV-L,5
mens-ruffled-panties,Get Ready to Ruffle,Size,M,Color,Navy Blue,,,Z070-NV-M,5
mens-ruffled-panties,Get Ready to Ruffle,Size,S,Color,Navy Blue,,,Z070-NV-S,2
ribbed-cami-bodysuit,Ribbed Cami Bodysuit,Color,Burgundy,Size,2XL,,,R312-BU-2X,1
ribbed-cami-bodysuit,Ribbed Cami Bodysuit,Color,Burgundy,Size,XL,,,R312-BU-XL,0
ribbed-cami-bodysuit,Ribbed Cami Bodysuit,Color,Olive,Size,XL,,,R312-OL-XL,1
ribbed-cami-bodysuit,Ribbed Cami Bodysuit,Color,Olive,Size,L,,,R312-OL-L,0
ribbed-cami-bodysuit,Ribbed Cami Bodysuit,Color,Olive,Size,M,,,R312-OL-M,0
ribbed-cami-bodysuit,Ribbed Cami Bodysuit,Color,Olive,Size,S,,,R312-OL-S,1
underwire-bra,Satin Underwire Bra,Size,2XL,Color,Nude,,,Z402-ND-2X,4
underwire-bra,Satin Underwire Bra,Size,XL,Color,Nude,,,Z402-ND-XL,7
underwire-bra,Satin Underwire Bra,Size,L,Color,Nude,,,Z402-ND-L,9
underwire-bra,Satin Underwire Bra,Size,M,Color,Nude,,,Z402-ND-M,8
mens-stretchy-yoga-bodysuit,Showstopper Bodysuit,Color,Neon Pink,Size,2XL,,,Q280-NP-2X,1
underwire-bra,Satin Underwire Bra,Size,2XL,Color,Pink,,,Z402-PK-2X,2
mens-stretchy-yoga-bodysuit,Showstopper Bodysuit,Color,Neon Orange,Size,2XL,,,Q280-NO-2X,1
mens-stretchy-yoga-bodysuit,Showstopper Bodysuit,Color,Neon Yellow,Size,2XL,,,Q280-NY-2X,1
